month_year,price_prod,values
1994-11-17,price,1.175
1994-12-17,price,1.112
1995-01-17,price,1.1072
1995-02-17,price,1.099
1995-03-17,price,1.099
1995-04-17,price,1.143
1995-05-17,price,1.2128
1995-06-17,price,1.22625
1995-07-17,price,1.1886
1995-08-17,price,1.16075
1995-09-17,price,1.148
1995-10-17,price,1.1216
1995-11-17,price,1.0975
1995-12-17,price,1.10475
1996-01-17,price,1.1228
1996-02-17,price,1.12075
1996-03-17,price,1.1685
1996-04-17,price,1.2586
1996-05-17,price,1.3015
1996-06-17,price,1.2815
1996-07-17,price,1.2538
1996-08-17,price,1.238
1996-09-17,price,1.238
1996-10-17,price,1.24275
1996-11-17,price,1.27325
1996-12-17,price,1.2726
1997-01-17,price,1.27025
1997-02-17,price,1.26325
1997-03-17,price,1.237
1997-04-17,price,1.22775
1997-05-17,price,1.229
1997-06-17,price,1.2266
1997-07-17,price,1.20575
1997-08-17,price,1.25025
1997-09-17,price,1.2542
1997-10-17,price,1.22175
1997-11-17,price,1.19775
1997-12-17,price,1.1586
1998-01-17,price,1.115
1998-02-17,price,1.082
1998-03-17,price,1.0546
1998-04-17,price,1.064
1998-05-17,price,1.08825
1998-06-17,price,1.086
1998-07-17,price,1.07775
1998-08-17,price,1.049
1998-09-17,price,1.03275
1998-10-17,price,1.04525
1998-11-17,price,1.02
1998-12-17,price,0.96375
1999-01-17,price,0.957
1999-02-17,price,0.94
1999-03-17,price,1.0002
1999-04-17,price,1.1365
1999-05-17,price,1.1426
1999-06-17,price,1.13425
1999-07-17,price,1.177
1999-08-17,price,1.2374
1999-09-17,price,1.279
1999-10-17,price,1.27075
1999-11-17,price,1.2804
1999-12-17,price,1.3015
2000-01-17,price,1.3186
2000-02-17,price,1.40875
2000-03-17,price,1.5375
2000-04-17,price,1.47625
2000-05-17,price,1.4956
2000-06-17,price,1.645
2000-07-17,price,1.5678
2000-08-17,price,1.4795
2000-09-17,price,1.56175
2000-10-17,price,1.546
2000-11-17,price,1.53275
2000-12-17,price,1.4575
2001-01-17,price,1.4668
2001-02-17,price,1.47075
2001-03-17,price,1.42325
2001-04-17,price,1.5568
2001-05-17,price,1.689
2001-06-17,price,1.58575
2001-07-17,price,1.3814
2001-08-17,price,1.422
2001-09-17,price,1.5385
2001-10-17,price,1.312
2001-11-17,price,1.17725
2001-12-17,price,1.1112
2002-01-17,price,1.1335
2002-02-17,price,1.12925
2002-03-17,price,1.25875
2002-04-17,price,1.4018
2002-05-17,price,1.3935
2002-06-17,price,1.38025
2002-07-17,price,1.4024
2002-08-17,price,1.39775
2002-09-17,price,1.4028
2002-10-17,price,1.46625
2002-11-17,price,1.42425
2002-12-17,price,1.3892
2003-01-17,price,1.46425
2003-02-17,price,1.6215
2003-03-17,price,1.675
2003-04-17,price,1.557
2003-05-17,price,1.477
2003-06-17,price,1.489
2003-07-17,price,1.5185
2003-08-17,price,1.62525
2003-09-17,price,1.654
2003-10-17,price,1.551
2003-11-17,price,1.51225
2003-12-17,price,1.4882
2004-01-17,price,1.595
2004-02-17,price,1.65425
2004-03-17,price,1.7276
2004-04-17,price,1.794
2004-05-17,price,1.9812
2004-06-17,price,1.95025
2004-07-17,price,1.90225
2004-08-17,price,1.8804
2004-09-17,price,1.8795
2004-10-17,price,1.99325
2004-11-17,price,1.9732
2004-12-17,price,1.8425
2005-01-17,price,1.852
2005-02-17,price,1.9265
2005-03-17,price,2.10175
2005-04-17,price,2.2505
2005-05-17,price,2.1552
2005-06-17,price,2.162
2005-07-17,price,2.28675
2005-08-17,price,2.489
2005-09-17,price,2.90675
2005-10-17,price,2.7362
2005-11-17,price,2.26525
2005-12-17,price,2.2155
2006-01-17,price,2.3432
2006-02-17,price,2.2925
2006-03-17,price,2.4535
2006-04-17,price,2.7615
2006-05-17,price,2.8726
2006-06-17,price,2.84925
2006-07-17,price,2.964
2006-08-17,price,2.95175
2006-09-17,price,2.54825
2006-10-17,price,2.258
2006-11-17,price,2.254
2006-12-17,price,2.3275
2007-01-17,price,2.2366
2007-02-17,price,2.27625
2007-03-17,price,2.5455
2007-04-17,price,2.8314
2007-05-17,price,3.15725
2007-06-17,price,3.067
2007-07-17,price,2.9888
2007-08-17,price,2.8205
2007-09-17,price,2.85825
2007-10-17,price,2.8384
2007-11-17,price,3.1095
2007-12-17,price,3.0324
2008-01-17,price,3.0675
2008-02-17,price,3.0635
2008-03-17,price,3.2626
2008-04-17,price,3.46825
2008-05-17,price,3.78275
2008-06-17,price,4.0378
2008-07-17,price,4.05075
2008-08-17,price,3.789
2008-09-17,price,3.7604
2008-10-17,price,3.065
2008-11-17,price,2.153
2008-12-17,price,1.7208
2009-01-17,price,1.8205
2009-02-17,price,1.9415
2009-03-17,price,1.9874
2009-04-17,price,2.07075
2009-05-17,price,2.2885
2009-06-17,price,2.6448
2009-07-17,price,2.53
2009-08-17,price,2.6128
2009-09-17,price,2.53
2009-10-17,price,2.54925
2009-11-17,price,2.6654
2009-12-17,price,2.62025
2010-01-17,price,2.72975
2010-02-17,price,2.6565
2010-03-17,price,2.7932
2010-04-17,price,2.86725
2010-05-17,price,2.8468
